77.0368	18.2
89.0386	20.2
91.017	167.4
104.0267	17.9
105.0343	25.3
115.0247	17.2
132.0207	141.1
133.0286	1625
135.0083	272.9
141.0715	25.3
143.0473	20.2
155.0467	19.2
160.019	19.2
161.0222	51.8
167.0484	48.4
169.0668	98.5
171.0442	55.3
173.0598	29.6
179.0499	31.4
180.0586	29.4
181.0655	14.2
182.0359	43.4
183.0442	41.1
184.0518	22.3
185.0598	97.9
195.0451	180
196.0532	114.1
197.0609	164.3
198.0325	42.6
199.0377	113.2
201.0564	154.9
208.0514	43.8
211.0385	114.4
212.0453	44.4
213.0546	385.4
223.0404	115.5
224.0482	241
225.056	149.8
226.028	69.9
227.0336	152.9
239.0334	40.5
240.0405	104.3
241.0497	257.8
251.0356	45.6
252.0433	64
267.0262	31
268.033	49.6
269.0451	869.1
